Indiv,circ10504,circ1057,circ12095,circ12207,circ12297,circ12861,circ13522,circ13670,circ14091,circ14192,circ14478,circ14544,circ15905,circ16286,circ16822,circ16827,circ17231,circ17403,circ17406,circ17411,circ17606,circ17709,circ18268,circ18608,circ18795,circ19323,circ196,circ20012,circ202,circ20464,circ206,circ2066,circ20873,circ21294,circ21473,circ217,circ22417,circ22526,circ22965,circ246,circ25503,circ26539,circ2748,circ27587,circ3279,circ3518,circ364,circ3752,circ4215,circ4735,circ5511,circ5522,circ5918,circ5960,circ5999,circ6066,circ6877,circ7177,circ7852,circ8487
AT45_FC,0.0243,0.0971,0.1214,0.0243,0.2185,0.1699,0.1457,0.0243,0.0971,0.1699,0.0728,0.1214,0.2428,0.0971,0.0486,0,0.0486,0.0243,0.0486,0.0971,0.0243,0,0.0243,0,0,0.1457,0,0.0971,0.0243,0.1214,0,0.0486,0,0.0486,0,0.0728,0.0486,0.0486,0,0.2428,0.1699,0.0971,0.0486,0,0,0.1942,0.0486,0,0,0.0728,0.0486,0.1699,0.0243,0.0728,0,0.0486,0.0243,0,0,0.0243
AT9_FC,0.0234,0.0467,0,0,0.0467,0,0,0.0701,0,0.0234,0.0234,0.0701,0.0934,0.0467,0.0467,0,0.0234,0,0.0467,0.0467,0.2335,0.0234,0,0.0234,0.0234,0.0934,0,0.0234,0.0234,0,0,0.0234,0.1868,0.0467,0,0,0.0234,0,0,0.4204,0.3737,0.0934,0.0467,0,0,0.0234,0,0,0,0.0234,0,0.3503,0,0.0234,0,0,0,0,0.0934,0
AT9_TC,0.0174,0.157,0.0349,0,0.0698,0.0523,0.0349,0.0174,0.0349,0.0349,0,0.0349,0,0.0523,0.0523,0.0349,0.0349,0.0174,0.0872,0.0523,0,0.0174,0.0174,0.0174,0.0174,0.0698,0.0174,0.0349,0,0.0174,0.0349,0.0174,0.0349,0.0523,0,0.0174,0.0174,0.0349,0.0349,0.2442,0.0698,0.0698,0,0.0349,0.0174,0.1046,0,0,0,0,0,0.1221,0.0523,0,0.0349,0.0174,0,0.0523,0.0174,0.0349
CT10_TC,0.0197,0.0591,0.0197,0,0.1181,0,0.0394,0,0.0394,0.0197,0,0.0394,0.1378,0.0984,0.0394,0.0197,0.0591,0.0197,0.0984,0,0.0394,0,0.0197,0.0394,0.0394,0.2166,0.0197,0.0197,0.0591,0.0197,0.0394,0,0,0,0.0984,0.0984,0.0394,0.0394,0.0394,0.7482,0.256,0.0984,0.0394,0,0,0.1181,0.0197,0.0591,0.0591,0.1378,0.1378,0.1969,0.0197,0,0.0788,0.1181,0.1378,0.0394,0.1772,0.0591
CT11_FC,0.0105,0.0419,0,0.0105,0.0419,0.0105,0,0.0105,0.0629,0.021,0,0.0419,0.0419,0.0314,0,0.021,0.021,0,0.0314,0.0314,0,0.0105,0.0105,0.0629,0.021,0.0105,0,0,0,0.0419,0.021,0.021,0.1362,0,0.1048,0.0314,0.0105,0.021,0.0314,0.0943,0.0105,0.021,0.0105,0.0105,0,0.1257,0.0105,0,0.0314,0.0524,0.021,0.1467,0.021,0.0314,0,0.0419,0,0,0.0105,0.0314
CT11_TC,0.0155,0.0619,0.0928,0.0155,0.0619,0.0155,0,0.0387,0.0232,0.0309,0.0309,0.0232,0,0.0077,0.0232,0,0.0155,0.0077,0.0155,0.0232,0.0155,0.0232,0.0155,0.0077,0.0155,0.0232,0.0232,0.0077,0.0077,0,0.0077,0.0077,0,0.0155,0.0464,0.0232,0.0077,0.0155,0.0232,0.1237,0,0,0,0.0232,0,0.0773,0,0,0,0.0232,0,0.0696,0.0309,0.0155,0.0155,0.0155,0.0155,0.0077,0.0155,0.0077
CT12_TC,0.0131,0.0525,0.0394,0,0.0131,0.0131,0,0,0.0263,0.0657,0,0,0.0657,0.0263,0.0263,0,0,0.0263,0.0657,0.0131,0,0.0131,0.0394,0.0131,0.0263,0.0657,0.0131,0.0131,0.0788,0.0131,0,0.0394,0.2232,0.0263,0.1313,0.0263,0.0263,0.0263,0,0.197,0,0.0263,0.0131,0.0131,0.0131,0.1576,0.0131,0.0525,0.0525,0.0131,0.0263,0.2364,0,0.0394,0,0,0,0.0263,0.0394,0.0263
CT13_FC,0,0.0539,0.0404,0,0.0472,0.0067,0,0,0.0202,0.0135,0.0135,0.0067,0.0539,0.0337,0.027,0,0,0.0135,0.0067,0.0135,0.0135,0.0135,0.0202,0.0202,0.027,0.0674,0.0067,0.0135,0.0202,0,0.0067,0,0.1415,0,0.0674,0,0.0067,0.0404,0,0.2156,0,0.0876,0.0202,0.0067,0.0067,0.1752,0.0337,0.0135,0,0.0606,0.0135,0.1415,0.0337,0.0337,0,0.0135,0.0337,0.0337,0.027,0.0135
CT13_TC,0.0286,0.0401,0.0573,0.0115,0.0974,0.0057,0.0057,0.0401,0.0516,0.0172,0.0172,0.0573,0,0.0344,0.0458,0,0.0229,0.0172,0.0458,0.0229,0,0.0344,0.0057,0.0229,0.0172,0,0.0172,0.0401,0.0229,0.0229,0.0344,0.0344,0,0.0229,0,0.0401,0.0057,0.0401,0.0172,0.2979,0.1776,0.0286,0.0115,0.0057,0.0115,0.126,0.0401,0,0,0.0286,0.0344,0.1375,0.0286,0.1031,0.0057,0.0516,0.0172,0.0115,0.0573,0.0115
CT15_TC,0,0,0.0192,0,0.0575,0.0575,0,0.0192,0,0.0192,0,0,0.0384,0.0959,0,0,0,0,0.0192,0.0384,0,0.0575,0.0192,0.0384,0.0192,0.0767,0,0,0.0192,0.0192,0,0,0.1726,0.0384,0.0384,0,0,0,0.0192,0.0384,0.0575,0.0575,0,0,0,0.0192,0.0384,0,0.0192,0,0,0.0575,0.0192,0,0,0.0384,0,0,0.0575,0.0192
CT16_FC,0,0.0441,0.0587,0.0294,0.0441,0.0294,0,0.0441,0.0441,0.0294,0.0441,0.0294,0.0734,0,0.0294,0.0147,0.0147,0.0147,0.0147,0,0.0147,0.0441,0.0147,0,0.0441,0.1616,0.0734,0,0.0294,0,0.0294,0.0294,0,0.0587,0,0.0294,0,0.0294,0.0147,0.3231,0.1762,0.0734,0,0.0147,0,0.0587,0,0,0.0147,0.0294,0,0.1469,0.0294,0.0441,0.0294,0,0.0734,0.0294,0.0294,0.0294
CT16_TC,0,0.04,0,0.016,0.056,0.016,0.016,0.024,0.056,0.048,0.048,0.0721,0.1681,0.0881,0.056,0.024,0.024,0,0.016,0.032,0.008,0.008,0.016,0.008,0.016,0.0721,0.032,0.0801,0.04,0.04,0.04,0.0801,0,0.064,0,0.04,0.024,0.04,0.032,0.2402,0.3282,0.1121,0.008,0.032,0,0.2082,0.04,0.056,0.048,0.1041,0.0721,0.2402,0.024,0.04,0.024,0.0721,0.024,0.048,0.04,0.032
CT17_FC,0,0.0558,0.093,0.0186,0,0,0,0,0.0186,0,0,0,0.0186,0,0.0372,0,0.0186,0.0186,0,0,0.0186,0.0558,0.0558,0,0,0.0186,0.0372,0.0186,0.1115,0,0.0186,0.0186,0,0,0.0372,0,0.0186,0.0186,0.0186,0.1487,0.1115,0.0372,0.0372,0.0372,0.0372,0.2789,0,0.0186,0.0558,0,0,0.2045,0.093,0,0,0,0.0372,0.0186,0,0
